mode,source_object,source_package_type,source_col,target_object,target_col,is_self_target,n_years,pearson_r,spearman_r,permutation_p
local_background_removed,Je,main_cluster_source,Je_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.7610391028395984,0.7573122529644267,0.009900990099009901
local_background_removed,Je,main_cluster_source,Je_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.7261772235437649,0.7660079051383398,0.009900990099009901
local_background_removed,Je,main_cluster_source,Je_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.34004543939985876,0.3765480895915678,0.0297029702970297
local_background_removed,Je,main_cluster_source,Je_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.6593241731399027,0.6355731225296442,0.009900990099009901
raw,H,pre_package,H_pre_package_strength,P,P_P45_strength,False,45,-0.09202999653192696,-0.060210803689064556,0.5346534653465347
raw,H,pre_package,H_pre_package_strength,V,V_V45_strength,False,45,0.2677426020457907,0.2812911725955204,0.06930693069306931
raw,H,pre_package,H_pre_package_strength,Je,Je_Je46_strength,False,45,-0.5141167758016759,-0.42766798418972335,0.009900990099009901
raw,H,pre_package,H_pre_package_strength,Jw,Jw_Jw41_strength,False,45,0.16074373674084944,0.11027667984189722,0.3069306930693069
raw,H,pre_package,H_pre_package_strength,M,M_combined_strength,False,45,-0.07204708707534106,0.01080368906455863,0.5841584158415841
raw,H,pre_package,H_pre_package_strength,joint_proxy,joint45_strength_proxy,False,45,-0.07204708707534106,0.01080368906455863,0.6732673267326733
raw,H,pre_package,H_pre_package_strength,M_minus_P,M_minus_P_strength,False,45,-0.04837550433869477,0.012648221343873516,0.801980198019802
raw,H,pre_package,H_pre_package_strength,M_minus_V,M_minus_V_strength,False,45,-0.2261748739928623,-0.09973649538866929,0.12871287128712872
raw,H,pre_package,H_pre_package_strength,M_minus_Je,M_minus_Je_strength,False,45,0.15944323966249277,0.18366271409749668,0.38613861386138615
raw,H,pre_package,H_pre_package_strength,M_minus_Jw,M_minus_Jw_strength,False,45,-0.15614529177891162,-0.09301712779973649,0.33663366336633666
raw,P,pre_package,P_pre_package_strength,P,P_P45_strength,True,45,-0.0030410840423404665,-0.05783926218708828,0.9702970297029703
raw,P,pre_package,P_pre_package_strength,V,V_V45_strength,False,45,-0.1508673925422792,-0.1600790513833992,0.33663366336633666
raw,P,pre_package,P_pre_package_strength,Je,Je_Je46_strength,False,45,-0.14911066378319948,-0.1461133069828722,0.3465346534653465
raw,P,pre_package,P_pre_package_strength,Jw,Jw_Jw41_strength,False,45,-0.08174438554039429,0.014492753623188404,0.5643564356435643
raw,P,pre_package,P_pre_package_strength,M,M_combined_strength,False,45,-0.15603413039739364,-0.18484848484848485,0.31683168316831684
raw,P,pre_package,P_pre_package_strength,joint_proxy,joint45_strength_proxy,False,45,-0.15603413039739364,-0.18484848484848485,0.31683168316831684
raw,P,pre_package,P_pre_package_strength,M_minus_P,M_minus_P_strength,False,45,-0.21564780335544975,-0.2193675889328063,0.13861386138613863
raw,P,pre_package,P_pre_package_strength,M_minus_V,M_minus_V_strength,False,45,-0.11877204299035674,-0.19183135704874835,0.48514851485148514
raw,P,pre_package,P_pre_package_strength,M_minus_Je,M_minus_Je_strength,False,45,-0.11167349535205451,-0.07628458498023714,0.504950495049505
raw,P,pre_package,P_pre_package_strength,M_minus_Jw,M_minus_Jw_strength,False,45,-0.139818052617634,-0.19051383399209484,0.38613861386138615
raw,V,pre_package,V_pre_package_strength,P,P_P45_strength,False,45,-0.11795100710125912,-0.2380764163372859,0.37623762376237624
raw,V,pre_package,V_pre_package_strength,V,V_V45_strength,True,45,-0.019834408944676918,-0.13517786561264822,0.8910891089108911
raw,V,pre_package,V_pre_package_strength,Je,Je_Je46_strength,False,45,-0.5152421807424916,-0.45388669301712775,0.009900990099009901
